Id,Label,count,rate,type,in_degree,out_degree,total_degree,community
318,Kennedy,1984,0.0008308454732113,PERSON,4,13,17,1
319,Fergus Jensen,2688,0.0011256616088669,PERSON,2,22,24,0
320,Jack,1176,0.0004924769538792,PERSON,2,8,10,3
321,Juul,5320,0.0022278719342158,PERSON,8,8,16,1
322,Simon Cameron-Moore,1728,0.0007236396057001,PERSON,12,0,12,0
323,Tillerson,3666,0.001535221524593,PERSON,47,80,127,1
324,Branson,1122,0.0004698632162011,PERSON,0,10,10,3
325,Alexander Winning,2684,0.001123986517187,PERSON,8,24,32,0
326,Dmitry Solovyov,2067,0.0008656036255684,PERSON,19,15,34,0
327,Kenneth Maxwell,3534,0.0014799434991576,PERSON,18,0,18,0
328,Murray,1200,0.0005025275039584,PERSON,8,36,44,1
329,Smith,6399,0.0026797279148584,PERSON,14,51,65,1
330,Megan Rowling,1140,0.0004774011287605,PERSON,2,5,7,0
331,Ros Russell,1458,0.0006105709173095,PERSON,5,2,7,0
332,Hurricane Harvey,5390,0.0022571860386133,PERSON,102,90,192,1
333,Nidhi Verma,2912,0.0012194667429391,PERSON,2,26,28,0
334,Tatiana Bautzer,1800,0.0007537912559376,PERSON,2,18,20,2
335,Morrison,2210,0.0009254881531234,PERSON,3,5,8,1
336,Coal,2940,0.0012311923846982,PERSON,2,10,12,1
337,Obama,20972,0.0087825056775138,PERSON,164,255,419,1
338,Subhranshu Sahu,1170,0.0004899643163594,PERSON,7,0,7,0
339,Aislinn Laing,1131,0.0004736321724808,PERSON,1,13,14,2
340,Energy Transfer,1425,0.0005967514109506,PERSON,15,13,28,3
341,Greg Mahlich,2494,0.0010444196623936,PERSON,22,0,22,0
342,Andrew Torchia,1638,0.0006859500429032,PERSON,5,12,17,0
343,Bate Felix,1340,0.0005611557127536,PERSON,3,29,32,0
344,Nigeria,2277,0.0009535459387611,PERSON,29,20,49,3
345,Joe Biden,1357,0.000568274852393,PERSON,14,13,27,1
346,Gordon,2625,0.0010992789149091,PERSON,3,8,11,3
347,Mashable,9321,0.0039033823869972,PERSON,26,2,28,3
348,Equinor,1472,0.000616433738189,PERSON,4,5,9,3
349,Freeport,2516,0.0010536326666328,PERSON,1,1,2,3
350,Greenpeace,1320,0.0005527802543542,PERSON,19,28,47,3
351,Tesla,2764,0.0011574883507843,PERSON,406,268,674,3
352,the Thomson Reuters Foundation,38313,0.0072289020231227,ORG,24,1,25,3
353,the European Union,76760,0.0144830871843735,ORG,75,36,111,3
354,the White House,107420,0.0202680201321704,ORG,495,303,798,1
355,Reuters,343095,0.0647352110151463,ORG,234,203,437,3
356,NASA,77900,0.0146981825385969,ORG,87,111,198,1
357,Volkswagen,44370,0.0083717376025358,ORG,48,48,96,3
358,GM,35275,0.006655691772131,ORG,101,47,148,3
359,Exxon,48480,0.0091472129585516,ORG,45,47,92,3
360,Chevron,29848,0.0056317246779465,ORG,23,34,57,3
361,CNN,178997,0.0337731781753688,ORG,193,101,294,1
362,the Associated Press,14520,0.0027396355643187,ORG,18,7,25,1
363,Amazon,122511,0.0231153920537361,ORG,182,99,281,3
364,OPEC,156465,0.0295218373671574,ORG,354,80,434,3
365,Brent,17157,0.0032371850810617,ORG,28,20,48,3
366,the Washington Post,11524,0.0021743498790088,ORG,25,22,47,1
367,NAFTA,7920,0.0014943466714465,ORG,104,17,121,1
368,the Wall Street Journal,9272,0.00174944221435,ORG,25,11,36,3
369,Google,96995,0.0183010297218383,ORG,111,131,242,3
370,the Supreme Court,16717,0.0031541658215368,ORG,37,15,52,1
371,EPA,64008,0.0120770380992363,ORG,150,104,254,1
372,Goldman Sachs,16236,0.0030634106764654,ORG,12,41,53,3
373,BHP,9858,0.0018600087736262,ORG,11,6,17,3
374,The New York Times,38019,0.0071734300633493,ORG,47,46,93,1
375,State,31635,0.0059688960796984,ORG,64,93,157,1
376,Tesla,132672,0.0250325709083533,ORG,406,268,674,3
377,Congress,264400,0.0498870277689989,ORG,695,378,1073,1
378,FERC,13200,0.0024905777857442,ORG,49,14,63,1
379,Fox News,15504,0.0029252968174378,ORG,73,16,89,1
380,the United Nations,25200,0.0047547394091481,ORG,32,24,56,1
381,Ford,42206,0.007963433789782,ORG,67,69,136,3
382,FEMA,20468,0.0038619050089858,ORG,62,33,95,1
383,Aramco,9702,0.001830574672522,ORG,8,11,19,3
384,GE,9063,0.0017100080660757,ORG,7,3,10,3
385,EDF,16748,0.0031600149057306,ORG,6,13,19,3
386,The White House,23940,0.0045170024386907,ORG,6,145,151,1
387,the Federal Reserve,8060,0.0015207618903862,ORG,19,2,21,1
388,Shell,44100,0.0083207939660092,ORG,13,52,65,3
389,Samsung,9211,0.0017379327260977,ORG,17,18,35,3
